frame,ball_id,x_center,y_center,confidence
0,1,754.0781,394.163,0.8107
0,2,567.6678,177.2509,0.7741
0,3,632.4658,261.583,0.6723
1,1,750.9674,431.5366,0.7706
1,2,559.1179,173.0746,0.8342
1,3,634.8121,249.5472,0.7525
2,1,748.9286,476.5821,0.8461
2,2,551.5444,169.9999,0.8613
2,3,637.7533,238.6976,0.784
3,1,745.1909,528.5771,0.8708
3,2,544.3192,167.55,0.8253
3,3,641.6255,231.1675,0.7038
4,1,741.7717,546.6165,0.8503
4,2,538.3467,167.4266,0.8247
4,3,645.2891,226.7151,0.5454
5,2,535.8074,169.2408,0.7882
6,2,534.3535,173.5109,0.802
7,2,536.8018,181.6356,0.7313
8,2,539.6542,195.8434,0.8177
9,2,544.6377,214.1866,0.8155
10,2,552.2082,236.8662,0.7561
11,2,559.7933,262.7141,0.8307
12,2,568.4908,294.2609,0.8819
12,6,690.5857,311.3714,0.8053
13,2,576.4243,330.2961,0.8666
13,6,685.2266,296.3195,0.706
13,7,725.022,174.393,0.6519
14,2,584.2797,370.6898,0.8606
14,6,679.2764,282.5247,0.7717
15,2,591.6446,414.9374,0.7041
15,6,674.5917,273.6855,0.7649
16,2,600.859,460.39,0.7983
16,6,669.0636,269.209,0.7604
16,7,749.0336,166.3023,0.4809
17,2,610.0115,510.8377,0.8688
17,6,663.3604,267.6116,0.8763
17,7,755.3677,166.6263,0.6852
18,2,619.6182,553.683,0.8719
18,6,660.209,270.7331,0.8428
18,7,760.8599,169.3481,0.585
19,6,655.4865,264.6768,0.7503
19,7,763.5485,174.5761,0.4087
20,6,649.6741,255.6376,0.5323
21,6,641.4016,246.5501,0.822
21,7,768.1249,196.7112,0.6975
22,6,630.6638,234.128,0.383
22,7,768.0244,213.8526,0.5712
23,6,618.5848,218.7319,0.753
23,12,635.689,374.2306,0.7833
24,6,606.5688,207.6432,0.7288
24,7,765.867,258.3938,0.8967
24,12,639.1372,348.2277,0.8049
25,7,761.6587,288.4361,0.8803
25,12,642.097,320.0174,0.7583
26,6,581.8617,188.6466,0.5739
26,7,759.0047,320.0613,0.7802
26,12,646.613,295.2284,0.7812
27,6,570.5825,180.3502,0.6493
27,7,754.4293,354.1851,0.6684
27,12,651.0725,273.8439,0.8457
28,6,560.206,174.3291,0.7812
28,7,750.3262,393.7474,0.6302
28,12,654.5192,257.9963,0.6748
29,6,550.9312,169.6638,0.8366
29,7,747.59,435.5343,0.6356
29,12,659.8979,244.3846,0.8768
30,6,542.3792,167.317,0.8378
30,7,744.1516,482.9254,0.8891
30,12,663.9949,235.6573,0.8372
31,6,535.7382,166.9559,0.8538
31,7,741.5408,534.902,0.8704
31,12,668.6754,229.0189,0.8228
32,6,532.1464,168.4854,0.8507
32,7,735.2747,542.6945,0.8745
32,12,673.536,224.6916,0.5423
33,6,530.0267,173.5563,0.7408
33,12,677.9546,219.1131,0.613
34,6,531.0368,183.0448,0.7046
34,12,684.2267,214.6783,0.6909
35,6,534.3004,194.7784,0.8634
35,12,692.0441,207.5538,0.7435
